title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating,company
‘Great’,Manager Retail Decision System,"Interesting projects, great team.",Learn about banking business.,Recommends working here: Yes,Rates salary as: High,4 years ago,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,ANZ
"‘Reasonably well paid but offering limited opportunity, and work is often frustrating and unsatisfying.’","Project Manager, IFRS 9 Impairment Project","Depending upon the team, working environment is fair, flexible working (e.g. working remotely, is available.","Career opportunities limited for project professionals, management of business tends to be very silo-ed, benefits and perks are almost non-existent.",Recommends working here: No,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",2.0,3.0,3.0,3.0,1.0,3.0,3.0,ANZ
"‘OK, but the call centre is quite a painful place to work.’",Customer Service Representative,Good salary,"Not very flexible, confused management. Over the top and often pointless monitoring of employees in the call centre.",Recommends working here: No,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",2.0,3.0,4.0,2.0,2.0,3.0,3.0,ANZ
‘An enjoyable work environment whilst maintaining a good life/work balance.’,Customer Service Representative,Opportunity to work part time to fit family obligations in. Great work team.Close to home. Opportunity for advancement.,Pressure to achieve referral quotas even though customer base was not increasing.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Boronia, Victoria, Australia",4.0,4.0,4.0,4.0,4.0,4.0,4.0,ANZ
"‘Very interesting, lots of support.’",Client Service Consultant,"Amazing people( staff and regular customers), extensive development opportunities, wages arent too bad. Great company!",Requires maximum focus all of the time.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Wagga Wagga, New South Wales, Australia",5.0,5.0,5.0,5.0,4.0,5.0,5.0,ANZ
‘Great job opportunities for development and growth’,Credit Card Collections,I was with ANZ for nearly ten years,Dont recall any,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Richmond, Victoria, Australia",5.0,4.0,4.0,4.0,4.0,5.0,4.0,ANZ
‘I love working at ANZ. Enjoyed working with my colleagues & love what I did.’,Customer Registration Officer,The management looks after their employees very well,To keep the position in Australia,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",5.0,4.0,5.0,4.0,4.0,5.0,5.0,ANZ
"‘Enjoyed time there, valued having a job but retrenched twice.’","Retail, Business And Financial Planning Departments","Training, diversity, large company","Young culture, ageist environment",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",4.0,3.0,3.0,3.0,3.0,3.0,4.0,ANZ
‘Started very positive many years ago but the culture has deteriorated significantly in the last 2 years.’,Assistant Manager,Good work life balance.,Poor management. Poor staff retention and engagement.,Recommends working here: No,Rates salary as: Average,4 years ago,"Brisbane, Queensland, Australia",2.0,4.0,2.0,2.0,3.0,4.0,2.0,ANZ
‘ANZ has been an excellent company until the last CEO & CIO.’,Infrastructure Technical Lead,Work/life balance.  Diversity and equal opportunity,Senior management lacks of integrity.  Lack of collaboration between departments/divisions.,Recommends working here: No,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",2.0,5.0,3.0,1.0,2.0,5.0,2.0,ANZ
‘I have enjoyed my time at ANZ which comes with its ups and downs.’,Small Business Banking,"Great people, lots of resources to use for your role and good team environment","Very busy workload, longer hours required to stay on top of work load as you will manage a large portfolio of customers.",Recommends working here: Yes,Rates salary as: Average,1 year ago,"Melbourne VIC, Australia",5.0,2.0,4.0,3.0,4.0,3.0,4.0,ANZ
‘Poor which is a shame because pre GFC it was a great place to work.’,Senior Manager,"All things prior GFC were excellent and it was a great place to work. post GFC, staff cuts and harsher more aggressive management meant up until 2016 is was a very arduous place too be. Aggressive, unfriendly no scope for career development and salaries pushed lower in real terms.",Aggressive culture and management post GFC.,Recommends working here: No,Rates salary as: Average,1 year ago,"Brisbane QLD, Australia",2.0,2.0,2.0,2.0,2.0,2.0,2.0,ANZ
‘Poor team culture but flexible work environment’,Technology Manager,Good salary and flexible work environment where working from home was supported,Culture was very competitive and political rather than collaborative. Some management was cliquey and above the rest. Complex processes and getting work done was through who you know. ,Recommends working here: No,Rates salary as: High,1 year ago,"Docklands VIC, Australia",2.0,3.0,1.0,1.0,3.0,2.0,2.0,ANZ
