title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating,company
‘Tough it out for a couple of years and you will see a different side to the place and people.’,Senior Infrastructure Technical Lead,Good policies to support permanent staff.,"Constant organisational change, often the staff are repointed ahead of the necessary business processes being aligned. Performance review process and goals changed every year. The carrot is dangled is almost impossible to reach and then they make a new barrier to progress. Project teams have so many staff and resources they disrupt Operations needlessly.",Recommends working here: No,Rates salary as: Average,2 months ago,"Sydney NSW, Australia",2.0,3.0,3.0,3.0,1.0,4.0,3.0,Westpac Banking Corporation
‘Not a good work/life balance’,Finance Role,Base salary is good. But bonuses are always out of reach. ,Systems are outdated.  Management style is by fear. ,Recommends working here: No,Rates salary as: High,2 months ago,Australia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Westpac Banking Corporation
‘All banks are the same. Find a fintech ’,Marketing Manager,"Good location, generally nice people","Old systems, no money or the project funding is bad, not customer centric",Recommends working here: No,Rates salary as: Average,2 months ago,"Sydney NSW, Australia",1.0,1.0,2.0,1.0,1.0,3.0,2.0,Westpac Banking Corporation
‘Stressful yet accomplished but could be better ’,Personal Banking Adviser,Stability and routine ,Low pay and aggressive customers ,Recommends working here: Yes,Rates salary as: Low,2 months ago,"Melbourne VIC, Australia",4.0,3.0,3.0,3.0,3.0,4.0,4.0,Westpac Banking Corporation
‘I would recommend Westpac to any of my friends’,Settlements Officer,"-Work life balance is great
-Facility is great
-Warm and friendly, professional environment
-Great internal systems such as PeopleHQ, Intranet...","-Benefits are not really competitive compared to other banks, even though they have an Employee First Program",Recommends working here: Yes,Rates salary as: Average,2 months ago,"Sydney NSW, Australia",4.0,5.0,5.0,5.0,3.0,5.0,4.0,Westpac Banking Corporation
‘Extremely lucky to be part of Aust's oldest bank.’,Analyst,Supportive working culture.  Customers focused.,How to change from casual  to permanent full employment.,Recommends working here: Yes,Rates salary as: Average,2 months ago,"Parramatta NSW, Australia",5.0,5.0,4.0,4.0,5.0,5.0,5.0,Westpac Banking Corporation
‘It was a good opportunity but everything about Westpac Tullamaine Business Centre was a challenge’,Assistant Relationship Manager,The people were mostly lovely,The internal departments don't work with each other and everything else about Westpac,Recommends working here: No,Rates salary as: Average,2 months ago,"Tullamarine VIC, Australia",3.0,1.0,1.0,1.0,1.0,3.0,2.0,Westpac Banking Corporation
"‘Westpac is a very good company to work for in comparison to other major Australian Banking Financial institutions. Westpac rates very high  regarding their culture, management and career development opportunities . ’",Fraud Detection Analyst,"- Management 
- Culture 
- Career development opportunities  ",No challenges applicable to me ,Recommends working here: Yes,Rates salary as: Average,3 months ago,"Parramatta NSW, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,Westpac Banking Corporation
‘Best experience of my working career!’,Portfolio Coordinator,"This was the best working experience of my career, only left the company due to relocating to a new city.  Great team, supportive management, good work/life balance with flexible work options available.  Company seems to genuinely want to live by their values.",Nothing worth noting.,Recommends working here: Yes,Rates salary as: High,1 month ago,"Sydney NSW, Australia",4.0,5.0,5.0,4.0,4.0,5.0,4.0,Westpac Banking Corporation
‘Good company to work for .. good management.. good perks ’,Manager,Work life balance .. lots of opportunities for career growth ,Average pay specially if you are looking for internal movements ,Recommends working here: Yes,Rates salary as: Average,2 months ago,"Sydney NSW, Australia",5.0,5.0,5.0,5.0,3.0,5.0,5.0,Westpac Banking Corporation
‘Terrible last experience’,Sales Representative,Bad because of one manager,Bad management and no respect for loyal staff,Recommends working here: No,Rates salary as: High,2 months ago,"Melbourne VIC, Australia",1.0,1.0,2.0,1.0,1.0,1.0,1.0,Westpac Banking Corporation
"‘It's a great company to work for, where I feel I can have a good work and life balance.’",Digital Marketing Role,"- Work flexibility
- Leadership
- Company culture
- Career development & opportunity",Slightly outdated technology makes the company less agile in comparison to its other competitors.,Recommends working here: Yes,Rates salary as: Average,2 months ago,"Sydney NSW, Australia",4.0,5.0,5.0,5.0,5.0,5.0,5.0,Westpac Banking Corporation
‘Excellent’,Personal Banking Adviser,Very friendly environment,"Increasing Competition. ...
Rising Expectations. ...
Customer Retention.",Recommends working here: Yes,Rates salary as: Average,2 months ago,"Five Dock NSW, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,Westpac Banking Corporation
‘Excellent ’,Senior Project Manager,They take care of the employees very well. Very friendly and accommodating environment. ,Don’t see any challenges ,Recommends working here: Yes,Rates salary as: Average,2 months ago,"Sydney NSW, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,Westpac Banking Corporation
‘Enjoyable’,PM,Work life balance was great!,No clear career path,Recommends working here: Yes,Rates salary as: Average,2 months ago,"Sydney NSW, Australia",3.0,5.0,5.0,4.0,4.0,4.0,4.0,Westpac Banking Corporation
