title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating,company
‘Great company’,Marketing,The people are amazing and feel empowered to work to their potential,We are trying to do so many things and this can create challenges,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Melbourne VIC, Australia",3.0,4.0,4.0,4.0,5.0,5.0,4.0,SEEK
‘A job to make it easier for others to get jobs’,Finance Manager,"Management look long term - not driven by short term profits. 
Great culture, smart people",Lots going on at any one time,Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,5.0,5.0,4.0,5.0,SEEK
‘Great company to work for’,UX Designer,"It's great to work with so many smart, talented and nice people",It can take a long thing to get things done!,Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",3.0,4.0,5.0,4.0,5.0,5.0,4.0,SEEK
‘Good place to grow’,Senior Software Developer,"Flexible working hour, unlimited sick leave, work from home, agile","Work hard, care about people, be productive",Recommends working here: Yes,Rates salary as: High,2 years ago,"Victoria, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
‘I have my dream job in a wonderful company.’,Video Content Producer,"An inclusive, supportive and highly motivating working environment. The work flexibility is also fantastic.",Product lead organisation so marketing is often treated as second fiddle,Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",4.0,5.0,5.0,4.0,5.0,5.0,5.0,SEEK
‘The early days were the best days.’,Sales Consultant.,Some of the team leaders were great and supported their team,Politics in the place. Favoritism and not giving the tools for the consultants to hit their targets.,Recommends working here: No,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",2.0,4.0,4.0,3.0,3.0,2.0,3.0,SEEK
‘Love my time ’,Senior Strategic Analyst,Culture and strong support for staff,Strategy and tech lead.  Hard for people outside of these disciplines ,Recommends working here: Yes,Rates salary as: High,1 year ago,"Melbourne VIC, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
‘So much support and opportunity’,Associate Product Manager,The people are amazing. All a grade players who inspire you to grow. Certainly know how to have a laugh!,Recently transitioned to an agile work environment but some people still think in waterfall. Getting better though!,Recommends working here: Yes,Rates salary as: Average,4 years ago,Melbourne,5.0,3.0,4.0,4.0,5.0,5.0,5.0,SEEK
‘There is something special here.’,Customer Success Manager,"Working with the most passionate and intelligent teams. The culture of SEEK would be very hard to replicate, there is something special about everyone that makes this place tick!","Out growing the building, this means some teams are offsite and we can't get meeting rooms for client meetings.",Recommends working here: Yes,Rates salary as: Average,6 months ago,"Melbourne VIC, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
‘One of the best places I have ever worked.’,Finance,Definitely the people and the business purpose/mission statement & values are meaningful.,Location could be better (i.e. Cbd).,Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
‘Unreal’,Business Systems Analyst,Culture is great and people are amazing and professional,Agile approach sometimes gets a bit hectic,Recommends working here: Yes,Rates salary as: High,1 year ago,"Melbourne VIC, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
‘Amazing!’,Senior Account Manager,"Great company - flexible work solutions, good careers progression opportunities and meaningful purpose",The product suite can sometimes feel limited and the company is so focussed on fairness and equality they sometimes go too far the other way..,Recommends working here: Yes,Rates salary as: High,4 years ago,,5.0,4.0,4.0,4.0,4.0,3.0,5.0,SEEK
‘The greatest Company in the world’,Client Support Coordinator,Love the culture and team i work with,"Although my TL drives for career opportunity, my current development plan doesn't allow for much practical experience",Recommends working here: Yes,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",3.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
‘One of the better places I've worked.’,Senior Software Developer,"Great people, enjoyable work and they treat their employees well.",As a developer there are too many meetings. Consistency and quality across teams can vary,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
‘Work with Great and intelligent people’,Learning Consultant,"Perks, social, great people, causal office","Management, regulation, company forgetting its people, lack of autonomy and trust",Recommends working here: No,Rates salary as: Low,4 years ago,"Sydney, New South Wales, Australia",4.0,5.0,4.0,1.0,3.0,3.0,3.0,SEEK
‘Incredible company with a people first culture ’,Marketing Manager,"Management, inclusive culture, incredible perks, celebrates success ",High rents toon rate so limited career opportunities ,Recommends working here: Yes,Rates salary as: High,1 year ago,"Melbourne VIC, Australia",3.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
‘Unbeatable place to work’,Strategy Manager,"Amazing culture, purpose driven, and fast-paced environment that gets things done",Need to earn your stripes,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
‘Far and away the best workplace I have experienced’,Senior Systems Engineer,"Collaborative working culture, great environment and the latest technology",Only negative is the St Kilda Rd location,Recommends working here: Yes,Rates salary as: High,6 months ago,"Melbourne VIC, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
‘Assimilate or die (inside). ’,Product,Small company feel. Great perks. Beer on Friday. ,Ruthless senior management with little appreciation for diverse points of view. ,Recommends working here: No,Rates salary as: Average,9 months ago,"Melbourne VIC, Australia",2.0,5.0,2.0,2.0,5.0,1.0,2.0,SEEK
‘Awesome’,Data Scientist,Senior management set a great direction and live and breath the values expected by all staff.,Too many cool things to work on and so little time to get across all of it.,Recommends working here: Yes,Rates salary as: High,1 year ago,"Melbourne VIC, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
"‘Great culture, smart people but extremely extreme’",Senior Developer,People and culture are great! Management is prudent and has common sense,"Sometimes there is just too much talking and not enough doing. Other times, there's too much doing and not enough talking. There doesn't seem to be any middle ground.",Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",3.0,5.0,5.0,4.0,4.0,4.0,5.0,SEEK
"‘For work life balance, recognition, appreciation and development, you could not ask for more.’",Executive Assistant,"There is no discrimination between \""us\"" and \""them\"".  All opinions are valid.","Lack of structure, rules, guidelines, best practice, seem to reinvent the wheel each time",Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",4.0,5.0,3.0,4.0,4.0,5.0,5.0,SEEK
"‘Great company, they have just got the recipe right’",Manager,"Fun culture, fast paced. Good performance management process, focus on finding the right answer first and sticking the course in the long run.",Hard to understand the technology side of the business sometimes.,Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",4.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
‘Will never leave’,Senior Account Manager,"Work life balance, culture, a CEO that inspires and cares about people",As the business grows we need to evolve our culture for the good and educate any new comers on the great things that make SEEK so unique,Recommends working here: Yes,Rates salary as: High,3 years ago,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
‘Somewhere you want to walk into every morning’,Customer Service Representative,"Excellent culture, great people and a warm environment",Understanding developmental opportunities - there's so many people and so many facets of the business that it can be difficult to get your head around!,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Melbourne VIC, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
‘Overall a positive experience except for the drop in pay for working hard’,Sales Role,Great crew in various departments. Had a chance to assist others to improve themselves ,The toe cutters Mercer came in and assisted SEEK to reduce our salary and commission because we were the Inside Sales crew and not the Outside Sales people even though we were the accountable people at the desk every day. ,Recommends working here: Yes,Rates salary as: Average,1 year ago,"Melbourne VIC, Australia",2.0,2.0,4.0,3.0,4.0,4.0,3.0,SEEK
‘Hands down the best place I've worked.’,Senior UX Designer,"Seek has a team of passionate and dedicated people who give their best, each and every day. It is inspirational and so motivating to be surrounded by such people.","Because we have so many projects on the go at once, it can be difficult to focus. Also, the priorities are constantly changing which makes it challenging for many teams and individuals to keep focused on what is most important at any one time",Recommends working here: Yes,Rates salary as: High,4 years ago,Melbourne,5.0,5.0,5.0,4.0,5.0,5.0,5.0,SEEK
‘Love what I do and where I do it.’,Senior Sales Account Manager,Work life balance is awesome. Great R&R benefits. Well regarded brand.,Regional location makes career progression difficult unless you can be mobile.,Recommends working here: Yes,Rates salary as: Average,1 year ago,"South Australia, Australia",3.0,5.0,3.0,4.0,5.0,5.0,4.0,SEEK
"‘Great fun culture, with a lot of opportunity to grow outside of your day to day role.’",Template Support Coordinator,The culture is amazing. Open and accepting of all people. Gives everyone a great opportunity to be themselves at work. Great career development,Management could be a challenge depending on the role. Some are great. Others are micro-managers.,Recommends working here: Yes,Rates salary as: Average,4 years ago,,4.0,5.0,5.0,3.0,5.0,5.0,5.0,SEEK
‘A dynamic fun yet busy and challenging company  to work’,Desktop Support,"You can wear short and bring your dog to work. open desk policy,free food and drinks, lots of opportunities for career and personal development","Result driven, fast paced, ever changing, Google like .",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",4.0,4.0,5.0,4.0,4.0,4.0,4.0,SEEK
‘Great place to work.’,Software Engineer,"Awesome people, awesome culture. The company actually cares for its employees.",None that I can think of.,Recommends working here: Yes,Rates salary as: Average,1 year ago,"Melbourne VIC, Australia",3.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
‘Best company I've worked for. Can't recommend SEEK highly enough.’,Senior Account Manager,"Excellent leadership team, amazing product development, regular perks, fantastic people to work with.",Nothing negative at all. All challenges are positive ones.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
"‘The best company I've ever worked for in every regard, with a great purpose and culture’",Strategy Manager,"- Really smart, motivated people across the entire business
- Small company values retained as they've grown -- people know your name and care about you and your development
- Truly meritocratic with lots of opportunities
- You're helping real people get jobs and improve their lives
- Little / no politics even at the highest levels","While opportunities abound, SEEK has a pretty flat organizational structure so if role titles matter to your sense of professional and personal development, it may not be the place for you.",Recommends working here: Yes,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
‘So far so good’,IT,"Great people doing great things, great perks as well. Working with some very smart talented people.","Seek does not always pull in the same direction, and he who shouts the loudest seems to win at times.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",3.0,3.0,4.0,3.0,5.0,5.0,4.0,SEEK
‘Great place to work!’,Senior Developer,"Great culture, very smart people, cutting edge technologies",Not the easiest to get to location,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
‘The best job I have ever had.’,Sales Manager,An amazing company that supports everyone to achieve their goals. It is a very collaborative place to work.,"There is constantly change within the business. You need to be be comfortable with this, otherwise it could be challenging.",Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
"‘Good to be in SEEK as permanent employee, but not as contractor’",Sr Test Analysis,"Friendly work environment, good technology",Stability in the job because of short rolling contract,Recommends working here: Yes,Rates salary as: Average,2 years ago,"St Kilda, Victoria, Australia",2.0,4.0,4.0,3.0,3.0,4.0,4.0,SEEK
"‘Work hard, play hard and some down time here and there but overall excellent place to work’",QA Specialist,Seek knows how to celebrate success and treat their staff with lots of perks and work events activities,Keeping up with new technologies and delivering high quality work in a fast paced environment,Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",3.0,4.0,4.0,4.0,5.0,4.0,5.0,SEEK
‘Overall good place to work that offers work life balance.’,Account Manager,Prople & Culture is great,Fewer development opportunities.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",3.0,4.0,4.0,3.0,4.0,3.0,4.0,SEEK
‘Great palce to work where successes and failures are celebrated; the focus is on innovation not outcome.’,National Sales Manager,"Culture, progressive attitude throughout the business, sense of ownership and accountability",Gaining engagement from product and strategy for customer specific activity,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
‘Best company to work’,Anonymous,Flexible working time and good team work,Have to keep ourself with new progranming languages & skills,Recommends working here: Yes,Rates salary as: Average,3 years ago,,3.0,2.0,5.0,4.0,5.0,3.0,4.0,SEEK
‘Fun and innovative working environment’,Functional Developer,"Great place to work, where everyone you work with is exceptional at what they do. 
Plus they have flexi time, drinks on Friday, and not forgetting the slide!!!!",Leaving work on time because your having so much fun!,Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
‘It's the most generous and caring company I have ever worked for.’,Senior Delivery Manager,All of it. I have no complaints.,Entitlement culture that nearly always  pervade organisations that have it so good.,Recommends working here: Yes,Rates salary as: High,2 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
"‘Good pay, good culture but not great individuals.’",Analyst,Good culture and pay,Backend systems teams are poor,Recommends working here: No,Rates salary as: Average,6 months ago,"Melbourne VIC, Australia",4.0,5.0,1.0,2.0,4.0,5.0,3.0,SEEK
‘Feel very lucky to call SEEK my employer.’,State Manager,Truly innovative company that never sits still.,Resilience - as disrupters who disrupt ourselves and the market everyone needs a high level of resilience.,Recommends working here: Yes,Rates salary as: High,3 years ago,Perth,4.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
‘Being able to do things in a flexible way.’,Storeperson,Being able to work in calm environment.,Having to complete all the required tasks in one day.,Recommends working here: Yes,Rates salary as: Average,6 months ago,"St Kilda VIC, Australia",4.0,4.0,4.0,4.0,4.0,4.0,4.0,SEEK
"‘Purposeful and challenging work, good fun and great people’",Group HR Coordinator,"Incredible inclusion, diversity and flexibility. Through codifying its culture, SEEK has made it really simple to understand what high performance means within the business and how to achieve it.",The continual strive for excellence with high agility can leave you feeling overwhelmed at times,Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
