title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating,company
"‘Regret working there, not a pleasant experience and wouldn't recommend.’",Sales Rep,Close to public transport.,"Management team didn't care about staff's overall well-being, instead just treated us like money making machines. Often put the blame on junior staff before knowing the whole story. Stores are short of staff so some of us are always working over time. Poor salary and no penalty rates for weekend work. Because of commission there is always unhealthy competition going on in the stores",Recommends working here: No,Rates salary as: Low,3 years ago,,3.0,2.0,2.0,2.0,2.0,3.0,2.0,Vodafone
‘Learnt heaps and made some great friends and contacts’,Product Manager,"Quick to market for new products, people good to work with, partners good to work with, new phones","Upper management politics, network perception challenging, systems hard to change",Recommends working here: Yes,Rates salary as: Low,4 years ago,"Sydney, New South Wales, Australia",4.0,4.0,4.0,4.0,4.0,4.0,4.0,Vodafone
‘Learning and Enjoying working here’,Retail Sales Associate,Interaction with different peoples and helping them as per their needs. It also helps me to understand Australian work culture and sharpening my communication skills,Handling multiple queries at one time,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Torrensville, South Australia, Australia",5.0,4.0,5.0,5.0,5.0,5.0,5.0,Vodafone
‘Repetitive work but good environment’,Contact Centre Representative,There was a good team environment and the management always tried to incooperate games and activities into the day when there were holidays on eg. (Easter/Christmas),The training package was poor and it felt like the company just wanted staff taking calls and spent less time training them initially which cause issues down the track,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Hobart, Tasmania, Australia",2.0,2.0,4.0,3.0,3.0,4.0,3.0,Vodafone
‘Good pay but it would be a hard career to maintain long term.’,Customer Retention Agent,The events that were put on were good but it was rare for general staff to be able to attend due to work schedules. The Games/chill out area was nice but again work rostering meant hardly any enjoyment could be had as your close associates were never on break at the same time.,The general set up of the telecommunications industry and the 'reliability' of service made it difficult.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Hobart TAS, Australia",2.0,3.0,3.0,3.0,2.0,3.0,3.0,Vodafone
"‘Best three year, walked away with many memories, stories and friendships.’",Sales Associate,"Great Staff, On the job training, amazing christmas parties","Very busy and not one customer is the same, quick thinking and problem solving is a must. Being able to adapt to each customers needs and wants.",Recommends working here: Yes,Rates salary as: Average,3 years ago,"Sydney, New South Wales, Australia",3.0,5.0,5.0,4.0,5.0,5.0,4.0,Vodafone
‘I made a lot of good friends over 7 years.’,Sakes Assistant,Great competIve environment and pay model.,When they cut pay by way of commission structure which everyone really felt. They were merciless.,Recommends working here: No,Rates salary as: Low,4 years ago,"Melbourne, Victoria, Australia",3.0,3.0,2.0,2.0,4.0,5.0,3.0,Vodafone
‘Perfect’,Sales Assistant,Working with great people,Every day it's different,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",4.0,5.0,5.0,5.0,5.0,5.0,5.0,Vodafone
‘Great people’,Project Manager,Great culture at Vodafone,Salary competitiveness compared to other telcos,Recommends working here: Yes,Rates salary as: Average,2 years ago,"North Sydney, New South Wales, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,Vodafone
‘Lovely co workers but management could be a lot better ’,Waitress,Co workers were nice ,Poor management as managers always get stressed and snappy under the small pressures ,Recommends working here: No,Rates salary as: Low,1 year ago,"Brisbane QLD, Australia",2.0,3.0,1.0,1.0,1.0,3.0,1.0,Vodafone
