title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating,company
‘Good to average workplace’,Relationship Manager,Work life balance . Management constantly check on staff and ask how you are going,Hard to move up. Alot of pressure on targets,Recommends working here: Yes,Rates salary as: Average,4 years ago,,3.0,3.0,3.0,4.0,3.0,5.0,3.0,Commonwealth Bank of Australia
‘Excellent’,Savings Specialist,Lots of opportunities,Big company can sometimes feel like a little fish in a big pond,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Lithgow, New South Wales, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,Commonwealth Bank of Australia
‘Very poor engagement strategy for leadership and no active no active listening at executive level to frontline leaders.’,Contact Centre Manager,Most of the people are fantastic trying to do their best.,"Work load, numbers driven and not quality focussed. Too much ambiguity and not enough accountability at the senior level.",Recommends working here: No,Rates salary as: Average,2 years ago,"NSW, Australia",1.0,1.0,1.0,1.0,4.0,2.0,1.0,Commonwealth Bank of Australia
‘For me it has been great as I've gotten use to their way and I have learned how to play their game’,Relationship Manager Business Banking.,Good culture,Pushy sales,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Perth, Western Australia, Australia",5.0,5.0,5.0,2.0,3.0,5.0,5.0,Commonwealth Bank of Australia
‘Time to leave!’,Manager,Some great people who just want to do the right thing.,Dealing with managers who are so disconnected or so old that they don’t know how to do anything.,Recommends working here: No,Rates salary as: Low,2 years ago,"Parramatta, New South Wales, Australia",1.0,1.0,1.0,1.0,5.0,1.0,1.0,Commonwealth Bank of Australia
‘Good career prospects’,Relationship Manager,Diverse and celebrate different cultures and offer support to staff,As with most large companies middle management are a bit out of touch,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",4.0,4.0,4.0,3.0,4.0,5.0,4.0,Commonwealth Bank of Australia
‘Very nice Organization if  can get rid of personal preference . ’,Lending Manager,Sustem they have but top management they are brutal ,Corporate capture is not followed I found personal likings and dislikings are more preferable .,Recommends working here: No,Rates salary as: Average,1 year ago,"Coburg VIC, Australia",1.0,1.0,1.0,1.0,1.0,1.0,1.0,Commonwealth Bank of Australia
"‘Great place, great times, friends for life.’",Team Leader,"Culture
Opportunities 
Development",High staff turnover due to there being so many development opportunities.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",5.0,4.0,4.0,4.0,4.0,5.0,4.0,Commonwealth Bank of Australia
‘Worst place to work ’,Customer Service Representative,Causal job and good pay ,"The head staff are unfair and don’t let you grow in the bank 
There is a lot of competition and as soon as your good at your job they find something to pick on so you leave ",Recommends working here: No,Rates salary as: Average,1 year ago,"Melbourne VIC, Australia",1.0,1.0,1.0,1.0,1.0,1.0,1.0,Commonwealth Bank of Australia
‘Excellent opportunity to earn good money and career opportunities’,Business Unit Manager,Excellent salary and bonus opportunities,Unrealistic targets,Recommends working here: Yes,Rates salary as: High,4 years ago,"Central Coast, New South Wales, Australia",4.0,5.0,3.0,3.0,4.0,4.0,4.0,Commonwealth Bank of Australia
‘Not very enriching’,Operations Analyst,Very organized and technologically enabled. ,Very standard process.,Recommends working here: No,Rates salary as: Low,1 year ago,"Sydney NSW, Australia",2.0,4.0,4.0,3.0,1.0,3.0,2.0,Commonwealth Bank of Australia
‘A nice place to work with lots of opportunities and a good culture’,Learning & Development Consultant,A great culture and constant change,A public service mentality and an over reliance on meetings,Recommends working here: Yes,Rates salary as: Average,3 years ago,"Sydney, New South Wales, Australia",3.0,4.0,4.0,3.0,4.0,5.0,3.0,Commonwealth Bank of Australia
‘I wasted my 9 years of career in cba and do not recommend any one to work there’,Software Test Analyst,"There was none, no career progression, poor management","No growth, treat you like a number and when they were done, just showed me the door no mercy or loyalty",Recommends working here: No,Rates salary as: Low,2 years ago,"Sydney Olympic Park, New South Wales, Australia",1.0,1.0,1.0,1.0,1.0,1.0,1.0,Commonwealth Bank of Australia
"‘If you love a loyal company, choose Commbank.’",Collections Officer,The team I worked in made working here easy.,"Some of the tasks in my role were challenging, but that was just the job itself.",Recommends working here: Yes,Rates salary as: Average,4 years ago,,4.0,4.0,4.0,4.0,5.0,5.0,4.0,Commonwealth Bank of Australia
‘Pretty bad’,Customer Service Representative,Had some good team members,The managers are so bad,Recommends working here: No,Rates salary as: Low,2 years ago,"Parramatta, New South Wales, Australia",1.0,2.0,1.0,1.0,1.0,1.0,1.0,Commonwealth Bank of Australia
‘Mixed.’,Risk Manager,Job security. Development.,Very slow paced. Lack of accountability.,Recommends working here: No,Rates salary as: High,2 years ago,"Sydney, New South Wales, Australia",3.0,5.0,3.0,1.0,4.0,5.0,3.0,Commonwealth Bank of Australia
‘I enjoyed working with CBA but had to leave because I wanted to work full time and there wasn't any F/T positions available in my area.’,Customer Service Specialist,Great team environment and good work life balance.,Sales and KPI's.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Victoria, Australia",3.0,5.0,5.0,4.0,3.0,5.0,5.0,Commonwealth Bank of Australia
‘Great starting position for my career’,Collections Officer,Great work environment with plenty of opportunities for career progression.,Getting leave if you don't plan it well in advance,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Parramatta, New South Wales, Australia",5.0,4.0,4.0,4.0,5.0,5.0,5.0,Commonwealth Bank of Australia
‘Best job ever but CommBank should streamline processes’,HR Manager,Great flexibility and work environment,Still quite hierarchical and process oriented,Recommends working here: Yes,Rates salary as: Average,1 year ago,"Sydney NSW, Australia",4.0,5.0,5.0,5.0,3.0,5.0,5.0,Commonwealth Bank of Australia
‘Great opportunity to start out a career’,Officer,Technology and benefits,Management opportunities,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Parramatta, New South Wales, Australia",3.0,4.0,4.0,3.0,5.0,5.0,4.0,Commonwealth Bank of Australia
‘It provides good career development’,Business Banker,An opportunity to move around different department,The salary can be higher,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",5.0,5.0,4.0,4.0,3.0,3.0,5.0,Commonwealth Bank of Australia
‘Great until you deal with HR.’,Process Engineer Various Levels,"Culture, work environment, respect","HR, HR and HR. It's like a department determined to make things difficult.",Recommends working here: Yes,Rates salary as: Average,1 year ago,"Sydney NSW, Australia",5.0,5.0,4.0,3.0,5.0,5.0,3.0,Commonwealth Bank of Australia
‘More bad than good’,Customer Banking Consultant,"White collar job, big brand","Low staff and training , high work pressure.",Recommends working here: Yes,Rates salary as: Average,1 year ago,"Baldivis WA, Australia",4.0,2.0,3.0,3.0,3.0,5.0,3.0,Commonwealth Bank of Australia
‘Undervalued ’,Branch Manager,People you work with and customers ,Very short staffed. Managment care about themselves ,Recommends working here: No,Rates salary as: Low,1 year ago,"QLD, Australia",1.0,1.0,1.0,1.0,4.0,3.0,1.0,Commonwealth Bank of Australia
‘I made life long friends and enjoyed my time there.’,Senior Manager CommSec,Great people and customers,Red tape and bureaucracy ,Recommends working here: Yes,Rates salary as: Average,6 months ago,"Sydney NSW, Australia",4.0,5.0,5.0,3.0,5.0,5.0,5.0,Commonwealth Bank of Australia
