title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating,company
‘Ok... About it’,Butcher,Team at department level was good to work with. Over time offered from time to time especially arpund Christmas and Easter which helps,None really. Did my job well and went home. No questions asked or needed,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Wendouree, Victoria, Australia",4.0,4.0,5.0,3.0,3.0,5.0,5.0,Coles Supermarkets
‘I enjoy the fast paced friendly atmosphere of the night fill staff.’,Nightfiller,"Family friendly hours, friendly staff.",Giving time frames to work within to meet KPI,Recommends working here: Yes,Rates salary as: Average,3 years ago,"Joondalup, Western Australia, Australia",3.0,4.0,4.0,3.0,3.0,3.0,4.0,Coles Supermarkets
"‘Great working enviroment,’",Customer Service Representative,Great atmosphere at Coles and the work was enjoyable.,Multi tasking from check out to bakery & also deli.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Australind, Western Australia, Australia",5.0,3.0,4.0,4.0,4.0,5.0,5.0,Coles Supermarkets
‘Steady job and nice people but a lot of pressure from business.’,Grocery Manager,"Regular pay, safe job",Long hours and not much reward hard to progress if you have a family,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Brisbane City QLD, Australia",3.0,2.0,3.0,3.0,2.0,4.0,3.0,Coles Supermarkets
‘Working as part of a team’,Grocery Team Member,Location close to home,Completing tasks on time,Recommends working here: Yes,Rates salary as: Low,3 years ago,Brisbane,3.0,3.0,4.0,3.0,3.0,3.0,3.0,Coles Supermarkets
‘No one should join the company better to begger’,Assistant Store Manager,Big company to work for,No hours to manage your team;have to work for free if you want to keep your job,Recommends working here: No,Rates salary as: Low,3 years ago,Sydney,2.0,1.0,1.0,1.0,1.0,1.0,2.0,Coles Supermarkets
‘Loved working there’,Face Up,Staff and management very friendly,Everyone is friendly even the bosses,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Aldinga SA, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,Coles Supermarkets
‘I wish I never taken this job.’,Service,"The best is my co - workers, great bunch of people",Having to deal with the ever changing schedule.,Recommends working here: No,Rates salary as: Average,3 years ago,"Goondiwindi, QLD",1.0,1.0,2.0,2.0,1.0,1.0,1.0,Coles Supermarkets
‘Good for a young person still in school.’,Checkout Chick,"Meet lots of new people, and a lot of customer diversity.",For such low pay sometimes it seems like it's not worth the 3 hour shift on a Friday night.,Recommends working here: No,Rates salary as: Low,4 years ago,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Coles Supermarkets
‘:)’,Deli Team Member,"Great discounts and awards, lovely team to work with, learn new things",There is no challenges,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Brisbane, Queensland, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,Coles Supermarkets
‘Greatful’,Deli Team Member,"Working with the team, all so friendly for someone who was new there.",Working alone on a busy day.,Recommends working here: Yes,Rates salary as: High,3 months ago,"Glenroy VIC, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,Coles Supermarkets
"‘Great part time, casual role woth room for management.’",Fresh Produce Team Member,"Flexible hours, good people to work with.","Days can go very long
Often short staffed.
Tight with wages for casual",Recommends working here: Yes,Rates salary as: Average,4 years ago,,4.0,5.0,3.0,3.0,2.0,5.0,4.0,Coles Supermarkets
‘Learn ew skills and experience bake cookies’,Dairy Assistant Groceries,Working in bakery for 6 months,Bakery cleaning packing,Recommends working here: No,Rates salary as: Low,2 years ago,"Chisholm ACT, Australia",1.0,2.0,2.0,1.0,2.0,2.0,1.0,Coles Supermarkets
‘Hard work no praise’,Bakery Assistant,Staff discount and customers,No oppertunity to grow,Recommends working here: No,Rates salary as: Average,3 years ago,,1.0,2.0,2.0,1.0,1.0,1.0,2.0,Coles Supermarkets
"‘Great team to work along side of, with good opportunity for career growth’",Mix Manager,Weekly time structure and customer service,Pressure of working time to complete tasks by moc,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Wanneroo, Western Australia, Australia",4.0,3.0,4.0,4.0,4.0,3.0,4.0,Coles Supermarkets
‘Challenging but rewarding’,Service Supervisor,"Provides stability and flexibility for families, students and different circumstances",Customer service is never actually fun but the manner in which you deal with these challenging moments provide invaluable interpersonal communication skills,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Newcastle, New South Wales, Australia",5.0,4.0,4.0,4.0,3.0,5.0,4.0,Coles Supermarkets
‘An enjoyable part of my career where I grew as a leader’,Line Manager,The culture and work ethic,Career advancement was difficult,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",3.0,4.0,4.0,3.0,3.0,4.0,4.0,Coles Supermarkets
