title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating
‘Really enjoyable but the fear of getting redundant and not feeling safe made me find something else.’,CBS,"Work flexibility.
Diversity and the opportunities to work on a variety of jobs in Australia and worldwide.",Redundancies were scary... It's often about who you know not how well you work.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",3.0,5.0,4.0,4.0,4.0,4.0,4.0
‘External view doesn't match the internal process’,Partner,Some great people at all levels of the company.,Change resistant. Highly political. Partners entrenched in old ways,Recommends working here: No,Rates salary as: High,2 years ago,"Sydney NSW, Australia",2.0,2.0,3.0,3.0,2.0,5.0,2.0
‘Work with the best and learn to excel in your career. The experience will last for a lifetime’,Senior Consultant,"Great leadership team,  opportunity to work in different sectors and learn new skills","Frequent travel to client site for work,",Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",5.0,3.0,5.0,5.0,4.0,5.0,5.0
"‘Amazing, friendly, timely, great career development and flexibility for mums’",Total Rewards Manager,Very flexible and welcoming,Global company = red tape,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",4.0,5.0,4.0,4.0,3.0,5.0,5.0
‘Great start to a career in accounting.’,Assistant Manager,"Great L&D, equal opportunities for female.",Work life balance can suffer for no prospect of bonus.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Brisbane, Queensland, Austrálie",4.0,2.0,4.0,4.0,2.0,5.0,4.0
‘Challenging experience’,IT Advisory Consultant,Good hands on experience,"Leading the engagements are challenging
Managing the clients",Recommends working here: Yes,Rates salary as: Average,4 years ago,,3.0,3.0,3.0,3.0,3.0,3.0,4.0
"‘EY Sydney's Technology Risk (FSO Advisory - Financial Services Advisory) is decent in terms of job demand. The upper management, questionable progression tracks, and employee turnover rates are some of the worst, however. Don't pressure yourself to join a’","Senior Consultant, Technology Risk, Financial Services, FSO Advisory","This is for EY Sydney's Technology Risk Practice - Financial Services Advisory - FSO Advisory. What you get in terms of career path demand is very high. Some good teammates here and there. You must be extremely lucky to get a good experience, honestly.","Every day is a challenge since most of the work is repetitive and boring. What the managers and up sell in some of their engagements depend on how you see them. They obvious prioritize money over career opportunities and employee satisfaction since its a business. I have bad experience in their upper management structure and progression. Most of the time, they don't do things with reason. This team has a particular reputation for having a high churn rate (turnover rate/lots of people jumping ship right away), which is A BIG RED FLAG FOR AN ORGANIZATION SUCH AS THIS.",Recommends working here: No,Rates salary as: Average,1 year ago,"Sydney NSW, Australia",2.0,2.0,1.0,1.0,2.0,1.0,1.0
‘Constant reorganization hard for stability for teams’,Oceania Applications Manager,Working coulture,"Being global IT, difficult to get / know correct teams to get things done efficiently.",Recommends working here: Yes,Rates salary as: High,4 years ago,"Sydney, New South Wales, Australia",2.0,4.0,4.0,3.0,3.0,4.0,3.0
‘Overall good work life balance’,Project Admin/EA,Nice to work for the company that has offices all over the world,Sometimes you feel like a number not a person working for such a big company,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",3.0,3.0,3.0,3.0,3.0,3.0,4.0
‘Met great people and learnt a lot’,Manager,Great people; switched on and enthusiastic,Peaks and troughs in work time,Recommends working here: Yes,Rates salary as: Average,4 years ago,,4.0,3.0,4.0,3.0,3.0,3.0,5.0
‘Awesome!’,Facilities Management Administration Assistant,A variety of opportunities,As every job.. You may run into people you don't always click with..,Recommends working here: Yes,Rates salary as: High,4 years ago,,5.0,5.0,5.0,5.0,5.0,5.0,5.0
‘Dreadful’,Manager,Location and coffee shop,Poor management who ignore issues,Recommends working here: No,Rates salary as: Low,2 years ago,"Brisbane City, Queensland, Australia",1.0,1.0,1.0,1.0,1.0,1.0,1.0
‘Valuable coaching and networking opportunity with genuine people with work life balance that needs improving’,Accountant,"People
Flexibility","Long hours
Juggling multiple jobs",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",5.0,2.0,5.0,5.0,5.0,5.0,5.0
‘An amazing growth experience’,Senior Manager,The people,The challenges associated with winning new work and a lack of mentoring in this space,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",4.0,4.0,4.0,3.0,3.0,4.0,3.0
‘Excellent culture and engaging spirit. Collaborative and sense of ownership and autonomy in work.’,Associate,Fantastic people to work with who are very driven and have a sense of entrepreneurship. The international contacts and networks.,Systems. Working in Recruitment and there wee many spreadsheets,Recommends working here: Yes,Rates salary as: Average,4 years ago,other,4.0,3.0,4.0,3.0,3.0,5.0,5.0
‘Great for development while work/life balance is a challenge’,Manager,"Opportunities for career development
Diversity and equal opportunity","Work/life balance
Benefits and perks",Recommends working here: No,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",5.0,2.0,4.0,3.0,2.0,5.0,3.0
‘One of the best places I've worked in my career!’,Executive Assistant/Account Coordinator,"A fabulous, supportive and collaborative working environment, with excellent opportunities for advancement.",Trying to fit in all the wonderful opportunities and personal development around your working week.,Recommends working here: Yes,Rates salary as: High,4 years ago,,5.0,5.0,5.0,5.0,5.0,5.0,5.0
‘Valuable experience but comes at a cost ’,Senior Manager,"Strong peer network, exposure to diversity of work, travel opportunities ","Up or out mentality, questionable values, unrealistic margin expectations, insufficient resources, hot desking",Recommends working here: No,Rates salary as: Average,1 year ago,Australia,3.0,1.0,1.0,1.0,1.0,3.0,2.0
"‘Work life balance great, opportunities and salary not great’",Talent Acquisition Team,"Being able to work from home
Great manager to report to","Senior Management been there for too long and need to refresh mindset of TA senior management team.
Salaries very low and therefore lots of turnover
Not the most friendliest of offices, however from what I hear Sydney is not the most friendliest offices of EY, so your experience might be different in other states.
Opportunities to grow are advertised within which is positive but you need to be 'in' with senior management to grow within EY TA team",Recommends working here: No,Rates salary as: Low,2 years ago,"Sydney, New South Wales, 2000, Australia",3.0,5.0,3.0,1.0,5.0,3.0,3.0
"‘Fast paced, challenging and a chance to work with exceptional people’",Director,"Variety
Access to exciting projects
Diverse teams and very bright colleagues",Lack of predictability and associated impacts on work life balance,Recommends working here: Yes,Rates salary as: High,4 years ago,,5.0,3.0,5.0,3.0,4.0,3.0,5.0
"‘It was a place that gave me friends however, not a career. I wouldn’t refer my friends to work there.’",Personal Assistant,The people you make friends with.,"Certain members at leadership level not acting accordingly.
Systems are outdated.",Recommends working here: No,Rates salary as: Average,1 year ago,"Melbourne VIC, Australia",3.0,2.0,2.0,1.0,3.0,3.0,2.0
‘If you want to be a battery hen’,Telephone Consultant,Nothing except free fruit once a week. Close to the market.,I didn't find the people here friendly at all. Bad vibe all around with the workers and the management. One team leader would talk down to you before you finished talking. Weekend work no extra same flat rate.,Recommends working here: No,Rates salary as: Average,1 year ago,"South Melbourne VIC, Australia",1.0,2.0,1.0,1.0,1.0,1.0,1.0
‘Excellent company to work for.’,Manaber,Very flexible working environment. Partnership and leaders very open and friendly. No feeling of hierarchy.,Getting to know who it who and what they actually do. So many systems and processes to learn and know.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Sydney, New South Wales, Australia",4.0,5.0,4.0,4.0,3.0,4.0,5.0
‘It was not a very fruitfull experience.’,Assistant Manager,Career growth,People issue. Work life balance,Recommends working here: No,Rates salary as: Average,4 years ago,,4.0,1.0,1.0,1.0,3.0,3.0,1.0
"‘Of you looking to advance in you career and take on a large workload  EY has great perks, great culture and provides great  opportunities ’",Workplace Services Manager,If you work hard your rewarded with opportunity ,Lots of stakeholders and workload is large,Recommends working here: Yes,Rates salary as: Average,3 months ago,"Sydney NSW, Australia",5.0,4.0,4.0,4.0,4.0,5.0,4.0
